Escola;Gênero;Idade;Moradia;Tamanho da família;Relacionamento dos pais;Escolaridade da mãe;Escolaridade do pai;Ocupação da mãe;Ocupação do pai;Motivo da escolha pela escola;Guardião;Tempo em trânsito;Tempo de estudo;Reprovações;Suporte extracurricular;Suporte familiar nas aulas;Aulas particulares;Atividades extracurriculares;Frequentou pré-escola?;Deseja cursar ensino superior?;Acesso à internet;Namora?;Qualidade da relação familiar;Tempo livre pós aula;Vida social;Consumo de álcool diário;Consumo de álcool semanal;Status de saúde;Número de faltas;Nota1;Nota2;Nota final
Gabriel Pereira;Feminino;18;Urbano;Mais de 3 pessoas;Separados;4;4;Dona de casa;Professor;Preferência pelo curso;Mãe;2;2;0;Sim;Não;Não;Não;Sim;Sim;Não;Não;4;3;4;1;1;3;4;0;11;11
Gabriel Pereira;Feminino;17;Urbano;Mais de 3 pessoas;Juntos;1;1;Dona de casa;Outros;Preferência pelo curso;Pai;1;2;0;Não;Sim;Não;Não;Não;Sim;Sim;Não;5;3;3;1;1;3;2;9;11;11
Gabriel Pereira;Feminino;15;Urbano;Menos de 3 pessoas;Juntos;1;1;Dona de casa;Outros;Outros;Mãe;1;2;0;Sim;Não;Não;Não;Sim;Sim;Sim;Não;4;3;2;2;3;3;6;12;13;12
Gabriel Pereira;Feminino;15;Urbano;Mais de 3 pessoas;Juntos;4;2;Saúde;Serviços;Perto de casa;Mãe;1;3;0;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;3;2;2;1;1;5;0;14;14;14
Gabriel Pereira;Feminino;16;Urbano;Mais de 3 pessoas;Juntos;3;3;Outros;Outros;Perto de casa;Pai;1;2;0;Não;Sim;Não;Não;Sim;Sim;Não;Não;4;3;2;1;2;5;0;11;13;13
Gabriel Pereira;Masculino;16;Urbano;Menos de 3 pessoas;Juntos;4;3;Serviços;Outros;Reputação da escola;Mãe;1;2;0;Não;Sim;Não;Sim;Sim;Sim;Sim;Não;5;4;2;1;2;5;6;12;12;13
Gabriel Pereira;Masculino;16;Urbano;Menos de 3 pessoas;Juntos;2;2;Outros;Outros;Perto de casa;Mãe;1;2;0;Não;Não;Não;Não;Sim;Sim;Sim;Não;4;4;4;1;1;3;0;13;12;13
Gabriel Pereira;Feminino;17;Urbano;Mais de 3 pessoas;Separados;4;4;Outros;Professor;Perto de casa;Mãe;2;2;0;Sim;Sim;Não;Não;Sim;Sim;Não;Não;4;1;4;1;1;1;2;10;13;13
Gabriel Pereira;Masculino;15;Urbano;Menos de 3 pessoas;Separados;3;2;Serviços;Outros;Perto de casa;Mãe;1;2;0;Não;Sim;Não;Não;Sim;Sim;Sim;Não;4;2;2;1;1;1;0;15;16;17
Gabriel Pereira;Masculino;15;Urbano;Mais de 3 pessoas;Juntos;3;4;Outros;Outros;Perto de casa;Mãe;1;2;0;Não;Sim;Não;Sim;Sim;Sim;Sim;Não;5;5;1;1;1;5;0;12;12;13
Gabriel Pereira;Feminino;15;Urbano;Mais de 3 pessoas;Juntos;4;4;Professora;Saúde;Reputação da escola;Mãe;1;2;0;Não;Sim;Não;Não;Sim;Sim;Sim;Não;3;3;3;1;2;2;2;14;14;14
Gabriel Pereira;Feminino;15;Urbano;Mais de 3 pessoas;Juntos;2;1;Serviços;Outros;Reputação da escola;Pai;3;3;0;Não;Sim;Não;Sim;Sim;Sim;Sim;Não;5;2;2;1;1;4;0;10;12;13
Gabriel Pereira;Masculino;15;Urbano;Menos de 3 pessoas;Juntos;4;4;Saúde;Serviços;Preferência pelo curso;Pai;1;1;0;Não;Sim;Não;Sim;Sim;Sim;Sim;Não;4;3;3;1;3;5;0;12;13;12
Gabriel Pereira;Masculino;15;Urbano;Mais de 3 pessoas;Juntos;4;3;Professora;Outros;Preferência pelo curso;Mãe;2;2;0;Não;Sim;Não;Não;Sim;Sim;Sim;Não;5;4;3;1;2;3;0;12;12;13
Gabriel Pereira;Masculino;15;Urbano;Mais de 3 pessoas;Separados;2;2;Outros;Outros;Perto de casa;Outros;1;3;0;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;4;5;2;1;1;3;0;14;14;15
Gabriel Pereira;Feminino;16;Urbano;Mais de 3 pessoas;Juntos;4;4;Saúde;Outros;Perto de casa;Mãe;1;1;0;Não;Sim;Não;Não;Sim;Sim;Sim;Não;4;4;4;1;2;2;6;17;17;17
Gabriel Pereira;Feminino;16;Urbano;Mais de 3 pessoas;Juntos;4;4;Serviços;Serviços;Reputação da escola;Mãe;1;3;0;Não;Sim;Não;Sim;Sim;Sim;Sim;Não;3;2;3;1;2;2;10;13;13;14
Gabriel Pereira;Feminino;16;Urbano;Mais de 3 pessoas;Juntos;3;3;Outros;Outros;Reputação da escola;Mãe;3;2;0;Sim;Sim;Não;Sim;Sim;Sim;Não;Não;5;3;2;1;1;4;2;13;14;14
Gabriel Pereira;Masculino;17;Urbano;Mais de 3 pessoas;Juntos;3;2;Serviços;Serviços;Preferência pelo curso;Mãe;1;1;3;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;5;5;5;2;4;5;2;8;8;7
Gabriel Pereira;Masculino;16;Urbano;Menos de 3 pessoas;Juntos;4;3;Saúde;Outros;Perto de casa;Pai;1;1;0;Não;Não;Não;Sim;Sim;Sim;Sim;Não;3;1;3;1;3;5;6;12;12;12
Gabriel Pereira;Masculino;15;Urbano;Mais de 3 pessoas;Juntos;4;3;Professora;Outros;Reputação da escola;Mãe;1;2;0;Não;Não;Não;Não;Sim;Sim;Sim;Não;4;4;1;1;1;1;0;12;13;14
Gabriel Pereira;Masculino;15;Urbano;Mais de 3 pessoas;Juntos;4;4;Saúde;Saúde;Outros;Pai;1;1;0;Não;Sim;Sim;Não;Sim;Sim;Sim;Não;5;4;2;1;1;5;0;11;12;12
Gabriel Pereira;Masculino;16;Urbano;Menos de 3 pessoas;Juntos;4;2;Professora;Outros;Preferência pelo curso;Mãe;1;2;0;Não;Não;Não;Sim;Sim;Sim;Sim;Não;4;5;1;1;3;5;0;12;13;14
Gabriel Pereira;Masculino;16;Urbano;Menos de 3 pessoas;Juntos;2;2;Outros;Outros;Reputação da escola;Mãe;2;2;0;Não;Sim;Não;Sim;Sim;Sim;Sim;Não;5;4;4;2;4;5;2;10;10;10
Gabriel Pereira;Feminino;15;Rural;Mais de 3 pessoas;Juntos;2;4;Serviços;Saúde;Preferência pelo curso;Mãe;1;3;0;Sim;Sim;Não;Sim;Sim;Sim;Sim;Não;4;3;2;1;1;5;2;10;11;10
Gabriel Pereira;Feminino;16;Urbano;Mais de 3 pessoas;Juntos;2;2;Serviços;Serviços;Perto de casa;Mãe;1;1;0;Não;Sim;Não;Não;Não;Sim;Sim;Não;1;2;2;1;3;5;6;10;11;12
Gabriel Pereira;Masculino;15;Urbano;Mais de 3 pessoas;Juntos;2;2;Outros;Outros;Perto de casa;Mãe;1;1;0;Não;Sim;Não;Não;Sim;Sim;Sim;Não;4;2;2;1;2;5;8;11;12;12
Gabriel Pereira;Masculino;15;Urbano;Mais de 3 pessoas;Juntos;4;2;Saúde;Serviços;Outros;Mãe;1;1;0;Não;Não;Não;Não;Sim;Sim;Sim;Não;2;2;4;2;4;1;0;11;11;11
Gabriel Pereira;Masculino;16;Urbano;Menos de 3 pessoas;Separados;3;4;Serviços;Outros;Perto de casa;Mãe;1;2;0;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;5;3;3;1;1;5;2;12;12;13
Gabriel Pereira;Masculino;16;Urbano;Mais de 3 pessoas;Juntos;4;4;Professora;Professor;Perto de casa;Mãe;1;2;0;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;4;4;5;5;5;5;4;12;11;12
Gabriel Pereira;Masculino;15;Urbano;Mais de 3 pessoas;Juntos;4;4;Saúde;Serviços;Perto de casa;Mãe;1;2;0;Não;Sim;Sim;Não;Não;Sim;Sim;Não;5;4;2;3;4;5;0;10;11;11
Gabriel Pereira;Masculino;15;Urbano;Mais de 3 pessoas;Juntos;4;4;Serviços;Serviços;Reputação da escola;Mãe;2;2;0;Não;Sim;Não;Sim;Sim;Sim;Sim;Não;4;3;1;1;1;5;2;15;15;15
